nu_ext_hz,g_EI_nA,mean_rate_E_hz,mean_CV_ISI
10.0,0.12,0.36,0.4778
10.0,0.192,0.209,0.6218
10.0,0.264,0.209,0.6786
10.0,0.336,0.225,0.6999
10.0,0.408,0.251,0.7685
10.0,0.48,0.282,0.5551
22.5,0.12,0.651,0.812
22.5,0.192,0.273,0.7465
22.5,0.264,0.231,0.7576
22.5,0.336,0.235,0.7118
22.5,0.408,0.221,0.9064
22.5,0.48,0.224,0.8454
35.0,0.12,0.875,0.7078
35.0,0.192,0.294,0.5692
35.0,0.264,0.255,0.6086
35.0,0.336,0.26,0.6702
35.0,0.408,0.258,0.7013
35.0,0.48,0.279,0.8937
47.5,0.12,1.192,0.7418
47.5,0.192,0.324,0.4477
47.5,0.264,0.265,0.7392
47.5,0.336,0.27,0.6515
47.5,0.408,0.287,0.5579
47.5,0.48,0.305,0.7815
60.0,0.12,1.605,0.9056
60.0,0.192,0.359,0.4765
60.0,0.264,0.28,0.6847
60.0,0.336,0.3,0.6214
60.0,0.408,0.319,0.5906
60.0,0.48,0.33,0.7086
