condition,epoch,window,observable,k,metric,value
frozen,0,prep,pr,,participation_ratio,8.112863702236698
frozen,0,exec,pr,,participation_ratio,51.84592929948032
frozen,0,exec,jpca,4,r2_skew,0.04270017683782257
frozen,0,exec,jpca,4,r2_full,0.04354997800201832
frozen,0,exec,jpca,4,omega_rad_per_bin,0.03726024560418691
frozen,0,exec,jpca,4,freq_hz,0.5930152268724411
frozen,0,exec,jpca,4,direction_consistency,0.875
frozen,0,exec,jpca,4,mean_tangling,0.36607480262243475
frozen,0,exec,jpca,4,shuffle_r2_mean,0.04362122732764351
frozen,0,exec,jpca,4,shuffle_r2_std,0.023791105951952628
frozen,0,exec,jpca,4,r2_above_shuffle,-0.0009210504898209404
frozen,0,exec,jpca,6,r2_skew,0.07311387872391784
frozen,0,exec,jpca,6,r2_full,0.07501702073596794
frozen,0,exec,jpca,6,omega_rad_per_bin,0.05110137917017385
frozen,0,exec,jpca,6,freq_hz,0.8133037093746385
frozen,0,exec,jpca,6,direction_consistency,1.0
frozen,0,exec,jpca,6,mean_tangling,0.2305697367570322
frozen,0,exec,jpca,6,shuffle_r2_mean,0.08339785167076641
frozen,0,exec,jpca,6,shuffle_r2_std,0.03575551325886569
frozen,0,exec,jpca,6,r2_above_shuffle,-0.010283972946848574
frozen,0,exec,jpca,10,r2_skew,0.1534493469001118
frozen,0,exec,jpca,10,r2_full,0.15620039679973075
frozen,0,exec,jpca,10,omega_rad_per_bin,0.09751200106163087
frozen,0,exec,jpca,10,freq_hz,1.55195169797407
frozen,0,exec,jpca,10,direction_consistency,1.0
frozen,0,exec,jpca,10,mean_tangling,0.14089187620650745
frozen,0,exec,jpca,10,shuffle_r2_mean,0.1358338928827683
frozen,0,exec,jpca,10,shuffle_r2_std,0.02875957501559063
frozen,0,exec,jpca,10,r2_above_shuffle,0.017615454017343518
frozen,0,prep_vs_exec,orthogonality,6,mean_angle_deg,84.60853892849227
frozen,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
frozen,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
frozen,0,prep_vs_exec,orthogonality,6,z_vs_null,-2.282770714682416
frozen,0,prep,cv_stability,6,fold_subspace_angle_deg,44.44621813328927
frozen,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,0,exec,cv_stability,6,fold_subspace_angle_deg,83.71154166968327
frozen,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,50,prep,pr,,participation_ratio,7.9918226134171055
frozen,50,exec,pr,,participation_ratio,52.071820473361
frozen,50,exec,jpca,4,r2_skew,0.05011852077057133
frozen,50,exec,jpca,4,r2_full,0.05656451410729668
frozen,50,exec,jpca,4,omega_rad_per_bin,0.04010069893632961
frozen,50,exec,jpca,4,freq_hz,0.6382224457156767
frozen,50,exec,jpca,4,direction_consistency,0.875
frozen,50,exec,jpca,4,mean_tangling,0.3452224203829788
frozen,50,exec,jpca,4,shuffle_r2_mean,0.0434284506847796
frozen,50,exec,jpca,4,shuffle_r2_std,0.0308030397616235
frozen,50,exec,jpca,4,r2_above_shuffle,0.006690070085791727
frozen,50,exec,jpca,6,r2_skew,0.06378945964891558
frozen,50,exec,jpca,6,r2_full,0.07211719950455964
frozen,50,exec,jpca,6,omega_rad_per_bin,0.05466420828278244
frozen,50,exec,jpca,6,freq_hz,0.8700078958409754
frozen,50,exec,jpca,6,direction_consistency,1.0
frozen,50,exec,jpca,6,mean_tangling,0.22546148169907063
frozen,50,exec,jpca,6,shuffle_r2_mean,0.07701575679703462
frozen,50,exec,jpca,6,shuffle_r2_std,0.028721508449202647
frozen,50,exec,jpca,6,r2_above_shuffle,-0.013226297148119043
frozen,50,exec,jpca,10,r2_skew,0.10380269464141456
frozen,50,exec,jpca,10,r2_full,0.11135640060646768
frozen,50,exec,jpca,10,omega_rad_per_bin,0.08046282900074325
frozen,50,exec,jpca,10,freq_hz,1.2806056970626198
frozen,50,exec,jpca,10,direction_consistency,0.75
frozen,50,exec,jpca,10,mean_tangling,0.1462733044718612
frozen,50,exec,jpca,10,shuffle_r2_mean,0.13111529116370585
frozen,50,exec,jpca,10,shuffle_r2_std,0.02176207141105167
frozen,50,exec,jpca,10,r2_above_shuffle,-0.027312596522291288
frozen,50,prep_vs_exec,orthogonality,6,mean_angle_deg,82.07641736920466
frozen,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
frozen,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
frozen,50,prep_vs_exec,orthogonality,6,z_vs_null,-6.9666201906289045
frozen,50,prep,cv_stability,6,fold_subspace_angle_deg,44.940269913232164
frozen,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,50,exec,cv_stability,6,fold_subspace_angle_deg,83.53925886785413
frozen,50,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,100,prep,pr,,participation_ratio,8.067621562845389
frozen,100,exec,pr,,participation_ratio,51.67114921355403
frozen,100,exec,jpca,4,r2_skew,0.017006700736312608
frozen,100,exec,jpca,4,r2_full,0.01840462808865939
frozen,100,exec,jpca,4,omega_rad_per_bin,0.02429652452020224
frozen,100,exec,jpca,4,freq_hz,0.3866911977343627
frozen,100,exec,jpca,4,direction_consistency,0.5
frozen,100,exec,jpca,4,mean_tangling,0.2923283167663333
frozen,100,exec,jpca,4,shuffle_r2_mean,0.0382467389916255
frozen,100,exec,jpca,4,shuffle_r2_std,0.022235486827142492
frozen,100,exec,jpca,4,r2_above_shuffle,-0.02124003825531289
frozen,100,exec,jpca,6,r2_skew,0.05506481419789511
frozen,100,exec,jpca,6,r2_full,0.058386235591169955
frozen,100,exec,jpca,6,omega_rad_per_bin,0.047351856343221664
frozen,100,exec,jpca,6,freq_hz,0.7536282001601048
frozen,100,exec,jpca,6,direction_consistency,0.75
frozen,100,exec,jpca,6,mean_tangling,0.17792894115341484
frozen,100,exec,jpca,6,shuffle_r2_mean,0.07050334998890864
frozen,100,exec,jpca,6,shuffle_r2_std,0.020461347970333936
frozen,100,exec,jpca,6,r2_above_shuffle,-0.015438535791013536
frozen,100,exec,jpca,10,r2_skew,0.11966826464640434
frozen,100,exec,jpca,10,r2_full,0.12555344383768663
frozen,100,exec,jpca,10,omega_rad_per_bin,0.07968714285796663
frozen,100,exec,jpca,10,freq_hz,1.2682602686715414
frozen,100,exec,jpca,10,direction_consistency,0.875
frozen,100,exec,jpca,10,mean_tangling,0.13518365427356474
frozen,100,exec,jpca,10,shuffle_r2_mean,0.13456337277921487
frozen,100,exec,jpca,10,shuffle_r2_std,0.029411784776438608
