condition,epoch,window,observable,k,metric,value
autonomous_istdp_long800,0,prep,pr,,participation_ratio,9.632025846745712
autonomous_istdp_long800,0,exec,pr,,participation_ratio,52.82575127163855
autonomous_istdp_long800,0,exec,jpca,4,r2_skew,0.022793415453747468
autonomous_istdp_long800,0,exec,jpca,4,r2_full,0.02353627266593117
autonomous_istdp_long800,0,exec,jpca,4,omega_rad_per_bin,0.02716709126596003
autonomous_istdp_long800,0,exec,jpca,4,freq_hz,0.4323776864406196
autonomous_istdp_long800,0,exec,jpca,4,direction_consistency,0.625
autonomous_istdp_long800,0,exec,jpca,4,mean_tangling,0.3377232255917402
autonomous_istdp_long800,0,exec,jpca,4,shuffle_r2_mean,0.047673203284001084
autonomous_istdp_long800,0,exec,jpca,4,shuffle_r2_std,0.027428064782992003
autonomous_istdp_long800,0,exec,jpca,4,r2_above_shuffle,-0.024879787830253616
autonomous_istdp_long800,0,exec,jpca,6,r2_skew,0.06335204591507637
autonomous_istdp_long800,0,exec,jpca,6,r2_full,0.06599475034079805
autonomous_istdp_long800,0,exec,jpca,6,omega_rad_per_bin,0.05780233771234398
autonomous_istdp_long800,0,exec,jpca,6,freq_hz,0.9199527769186622
autonomous_istdp_long800,0,exec,jpca,6,direction_consistency,0.875
autonomous_istdp_long800,0,exec,jpca,6,mean_tangling,0.20858115296698151
autonomous_istdp_long800,0,exec,jpca,6,shuffle_r2_mean,0.08040026382750701
autonomous_istdp_long800,0,exec,jpca,6,shuffle_r2_std,0.02034210777642003
autonomous_istdp_long800,0,exec,jpca,6,r2_above_shuffle,-0.017048217912430635
autonomous_istdp_long800,0,exec,jpca,10,r2_skew,0.14692695904837116
autonomous_istdp_long800,0,exec,jpca,10,r2_full,0.15419876589818415
autonomous_istdp_long800,0,exec,jpca,10,omega_rad_per_bin,0.08437985811619779
autonomous_istdp_long800,0,exec,jpca,10,freq_hz,1.3429471516585663
autonomous_istdp_long800,0,exec,jpca,10,direction_consistency,0.875
autonomous_istdp_long800,0,exec,jpca,10,mean_tangling,0.13521244844400293
autonomous_istdp_long800,0,exec,jpca,10,shuffle_r2_mean,0.14923505269837764
autonomous_istdp_long800,0,exec,jpca,10,shuffle_r2_std,0.02901740245011083
autonomous_istdp_long800,0,exec,jpca,10,r2_above_shuffle,-0.0023080936500064764
autonomous_istdp_long800,0,prep_vs_exec,orthogonality,6,mean_angle_deg,80.82072219803631
autonomous_istdp_long800,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
autonomous_istdp_long800,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
autonomous_istdp_long800,0,prep_vs_exec,orthogonality,6,z_vs_null,-9.28937090844206
autonomous_istdp_long800,0,prep,cv_stability,6,fold_subspace_angle_deg,48.86673963638665
autonomous_istdp_long800,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
autonomous_istdp_long800,0,exec,cv_stability,6,fold_subspace_angle_deg,80.90579105605947
autonomous_istdp_long800,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
autonomous_istdp_long800,50,prep,pr,,participation_ratio,12.769307013326623
autonomous_istdp_long800,50,exec,pr,,participation_ratio,52.49933167553604
autonomous_istdp_long800,50,exec,jpca,4,r2_skew,0.035688377862622356
autonomous_istdp_long800,50,exec,jpca,4,r2_full,0.03727188257481984
autonomous_istdp_long800,50,exec,jpca,4,omega_rad_per_bin,0.034604446081641704
autonomous_istdp_long800,50,exec,jpca,4,freq_hz,0.5507468646850245
autonomous_istdp_long800,50,exec,jpca,4,direction_consistency,0.75
autonomous_istdp_long800,50,exec,jpca,4,mean_tangling,0.2939912975388112
autonomous_istdp_long800,50,exec,jpca,4,shuffle_r2_mean,0.04453692009149131
autonomous_istdp_long800,50,exec,jpca,4,shuffle_r2_std,0.02201394314991288
autonomous_istdp_long800,50,exec,jpca,4,r2_above_shuffle,-0.008848542228868952
autonomous_istdp_long800,50,exec,jpca,6,r2_skew,0.09780971645034786
autonomous_istdp_long800,50,exec,jpca,6,r2_full,0.10163418116551848
autonomous_istdp_long800,50,exec,jpca,6,omega_rad_per_bin,0.06587551472584077
autonomous_istdp_long800,50,exec,jpca,6,freq_hz,1.0484413797340502
autonomous_istdp_long800,50,exec,jpca,6,direction_consistency,0.875
autonomous_istdp_long800,50,exec,jpca,6,mean_tangling,0.17696200084310143
autonomous_istdp_long800,50,exec,jpca,6,shuffle_r2_mean,0.07595666068209272
autonomous_istdp_long800,50,exec,jpca,6,shuffle_r2_std,0.02153438626785482
autonomous_istdp_long800,50,exec,jpca,6,r2_above_shuffle,0.021853055768255136
autonomous_istdp_long800,50,exec,jpca,10,r2_skew,0.15720161445719016
autonomous_istdp_long800,50,exec,jpca,10,r2_full,0.16232801307001754
autonomous_istdp_long800,50,exec,jpca,10,omega_rad_per_bin,0.1017763669904655
