condition,epoch,window,observable,k,metric,value
eeasym_r0.5,0,prep,pr,,participation_ratio,9.632025846745712
eeasym_r0.5,0,exec,pr,,participation_ratio,52.82575127163855
eeasym_r0.5,0,exec,jpca,4,r2_skew,0.022793415453747468
eeasym_r0.5,0,exec,jpca,4,r2_full,0.02353627266593117
eeasym_r0.5,0,exec,jpca,4,omega_rad_per_bin,0.02716709126596003
eeasym_r0.5,0,exec,jpca,4,freq_hz,0.4323776864406196
eeasym_r0.5,0,exec,jpca,4,direction_consistency,0.625
eeasym_r0.5,0,exec,jpca,4,mean_tangling,0.3377232255917402
eeasym_r0.5,0,exec,jpca,4,shuffle_r2_mean,0.047673203284001084
eeasym_r0.5,0,exec,jpca,4,shuffle_r2_std,0.027428064782992003
eeasym_r0.5,0,exec,jpca,4,r2_above_shuffle,-0.024879787830253616
eeasym_r0.5,0,exec,jpca,6,r2_skew,0.06335204591507637
eeasym_r0.5,0,exec,jpca,6,r2_full,0.06599475034079805
eeasym_r0.5,0,exec,jpca,6,omega_rad_per_bin,0.05780233771234398
eeasym_r0.5,0,exec,jpca,6,freq_hz,0.9199527769186622
eeasym_r0.5,0,exec,jpca,6,direction_consistency,0.875
eeasym_r0.5,0,exec,jpca,6,mean_tangling,0.20858115296698151
eeasym_r0.5,0,exec,jpca,6,shuffle_r2_mean,0.08040026382750701
eeasym_r0.5,0,exec,jpca,6,shuffle_r2_std,0.02034210777642003
eeasym_r0.5,0,exec,jpca,6,r2_above_shuffle,-0.017048217912430635
eeasym_r0.5,0,exec,jpca,10,r2_skew,0.14692695904837116
eeasym_r0.5,0,exec,jpca,10,r2_full,0.15419876589818415
eeasym_r0.5,0,exec,jpca,10,omega_rad_per_bin,0.08437985811619779
eeasym_r0.5,0,exec,jpca,10,freq_hz,1.3429471516585663
eeasym_r0.5,0,exec,jpca,10,direction_consistency,0.875
eeasym_r0.5,0,exec,jpca,10,mean_tangling,0.13521244844400293
eeasym_r0.5,0,exec,jpca,10,shuffle_r2_mean,0.14923505269837764
eeasym_r0.5,0,exec,jpca,10,shuffle_r2_std,0.02901740245011083
eeasym_r0.5,0,exec,jpca,10,r2_above_shuffle,-0.0023080936500064764
eeasym_r0.5,0,prep_vs_exec,orthogonality,6,mean_angle_deg,80.82072219803631
eeasym_r0.5,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
eeasym_r0.5,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
eeasym_r0.5,0,prep_vs_exec,orthogonality,6,z_vs_null,-9.28937090844206
eeasym_r0.5,0,prep,cv_stability,6,fold_subspace_angle_deg,48.86673963638665
eeasym_r0.5,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
eeasym_r0.5,0,exec,cv_stability,6,fold_subspace_angle_deg,80.90579105605947
eeasym_r0.5,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
eeasym_r0.5,50,prep,pr,,participation_ratio,14.76458257989028
eeasym_r0.5,50,exec,pr,,participation_ratio,42.84030920874337
