condition,epoch,window,observable,k,metric,value
control,0,prep,pr,,participation_ratio,12.575288393633546
control,0,exec,pr,,participation_ratio,8.919519585437873
control,0,exec,jpca,4,r2_skew,0.0011406049718265532
control,0,exec,jpca,4,r2_full,0.01923895971834455
control,0,exec,jpca,4,omega_rad_per_bin,0.0014275036707874337
control,0,exec,jpca,4,freq_hz,0.02271942654876457
control,0,exec,jpca,4,direction_consistency,0.5
control,0,exec,jpca,4,mean_tangling,0.07119089971147857
control,0,exec,jpca,4,shuffle_r2_mean,0.0050725117802297385
control,0,exec,jpca,4,shuffle_r2_std,0.0033619807871892817
control,0,exec,jpca,4,r2_above_shuffle,-0.003931906808403185
control,0,exec,jpca,6,r2_skew,0.006378423146619849
control,0,exec,jpca,6,r2_full,0.023039228104260512
control,0,exec,jpca,6,omega_rad_per_bin,0.004853780145343
control,0,exec,jpca,6,freq_hz,0.07725031028126367
control,0,exec,jpca,6,direction_consistency,0.75
control,0,exec,jpca,6,mean_tangling,0.06799671059589922
control,0,exec,jpca,6,shuffle_r2_mean,0.02118695987074033
control,0,exec,jpca,6,shuffle_r2_std,0.00848913836451368
control,0,exec,jpca,6,r2_above_shuffle,-0.01480853672412048
control,0,exec,jpca,10,r2_skew,0.0410374284360151
control,0,exec,jpca,10,r2_full,0.05421582235776223
control,0,exec,jpca,10,omega_rad_per_bin,0.030179628838429628
control,0,exec,jpca,10,freq_hz,0.48032371103147914
control,0,exec,jpca,10,direction_consistency,0.875
control,0,exec,jpca,10,mean_tangling,0.07018074741140533
control,0,exec,jpca,10,shuffle_r2_mean,0.07402271182574983
control,0,exec,jpca,10,shuffle_r2_std,0.023455776663005936
control,0,exec,jpca,10,r2_above_shuffle,-0.032985283389734735
control,0,prep_vs_exec,orthogonality,6,mean_angle_deg,35.74638724169113
control,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
control,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
control,0,prep_vs_exec,orthogonality,6,z_vs_null,-92.66664771789817
control,0,prep,cv_stability,6,fold_subspace_angle_deg,51.88704284574009
control,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,0,exec,cv_stability,6,fold_subspace_angle_deg,45.31411885277907
control,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,50,prep,pr,,participation_ratio,23.993019121475363
control,50,exec,pr,,participation_ratio,16.375233262342537
control,50,exec,jpca,4,r2_skew,0.001387568968339692
control,50,exec,jpca,4,r2_full,0.01089995175566405
control,50,exec,jpca,4,omega_rad_per_bin,0.0019578198392758176
control,50,exec,jpca,4,freq_hz,0.031159670510412643
control,50,exec,jpca,4,direction_consistency,0.875
control,50,exec,jpca,4,mean_tangling,0.08316505877589771
control,50,exec,jpca,4,shuffle_r2_mean,0.008511341760750154
control,50,exec,jpca,4,shuffle_r2_std,0.008415081850509652
control,50,exec,jpca,4,r2_above_shuffle,-0.007123772792410462
control,50,exec,jpca,6,r2_skew,0.0075986538551818805
control,50,exec,jpca,6,r2_full,0.015076825923616921
control,50,exec,jpca,6,omega_rad_per_bin,0.00691584434161112
control,50,exec,jpca,6,freq_hz,0.11006908126215242
control,50,exec,jpca,6,direction_consistency,0.75
control,50,exec,jpca,6,mean_tangling,0.07517590636623504
control,50,exec,jpca,6,shuffle_r2_mean,0.04051207829388133
control,50,exec,jpca,6,shuffle_r2_std,0.02930142497861904
control,50,exec,jpca,6,r2_above_shuffle,-0.03291342443869945
control,50,exec,jpca,10,r2_skew,0.06317313768881261
control,50,exec,jpca,10,r2_full,0.07216723576977402
control,50,exec,jpca,10,omega_rad_per_bin,0.053627355145208506
control,50,exec,jpca,10,freq_hz,0.853505865630452
control,50,exec,jpca,10,direction_consistency,0.875
control,50,exec,jpca,10,mean_tangling,0.08759501892508437
control,50,exec,jpca,10,shuffle_r2_mean,0.09972759021347774
control,50,exec,jpca,10,shuffle_r2_std,0.028849276678528015
control,50,exec,jpca,10,r2_above_shuffle,-0.03655445252466513
control,50,prep_vs_exec,orthogonality,6,mean_angle_deg,44.817399031047465
control,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
control,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
control,50,prep_vs_exec,orthogonality,6,z_vs_null,-75.88733723809851
control,50,prep,cv_stability,6,fold_subspace_angle_deg,57.184815853670194
control,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,50,exec,cv_stability,6,fold_subspace_angle_deg,50.66508117205422
control,50,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,100,prep,pr,,participation_ratio,30.168121134330512
control,100,exec,pr,,participation_ratio,20.671311248502775
control,100,exec,jpca,4,r2_skew,0.002185101882836382
control,100,exec,jpca,4,r2_full,0.015293289067950133
control,100,exec,jpca,4,omega_rad_per_bin,0.0023128609276249355
control,100,exec,jpca,4,freq_hz,0.03681032493156149
control,100,exec,jpca,4,direction_consistency,1.0
control,100,exec,jpca,4,mean_tangling,0.08654628643489946
control,100,exec,jpca,4,shuffle_r2_mean,0.013116962061726078
control,100,exec,jpca,4,shuffle_r2_std,0.0126827773972263
control,100,exec,jpca,4,r2_above_shuffle,-0.010931860178889696
control,100,exec,jpca,6,r2_skew,0.006733888502827967
control,100,exec,jpca,6,r2_full,0.015624187426068414
control,100,exec,jpca,6,omega_rad_per_bin,0.007597642772734426
control,100,exec,jpca,6,freq_hz,0.12092024031270975
control,100,exec,jpca,6,direction_consistency,0.75
control,100,exec,jpca,6,mean_tangling,0.09000604759164339
control,100,exec,jpca,6,shuffle_r2_mean,0.036837808738877854
control,100,exec,jpca,6,shuffle_r2_std,0.015831796511750977
control,100,exec,jpca,6,r2_above_shuffle,-0.030103920236049887
control,100,exec,jpca,10,r2_skew,0.05279689289805467
control,100,exec,jpca,10,r2_full,0.06069984035702647
control,100,exec,jpca,10,omega_rad_per_bin,0.05264607281031639
control,100,exec,jpca,10,freq_hz,0.8378882722137684
control,100,exec,jpca,10,direction_consistency,0.75
control,100,exec,jpca,10,mean_tangling,0.10213292357223613
control,100,exec,jpca,10,shuffle_r2_mean,0.10487962388591551
control,100,exec,jpca,10,shuffle_r2_std,0.01472146046643478
control,100,exec,jpca,10,r2_above_shuffle,-0.05208273098786084
control,100,prep_vs_exec,orthogonality,6,mean_angle_deg,48.9453821044569
control,100,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
control,100,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
control,100,prep_vs_exec,orthogonality,6,z_vs_null,-68.25150661054187
control,100,prep,cv_stability,6,fold_subspace_angle_deg,61.915803223854354
control,100,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,100,exec,cv_stability,6,fold_subspace_angle_deg,54.328798491004214
control,100,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,0,prep,pr,,participation_ratio,8.903391483833596
frozen,0,exec,pr,,participation_ratio,6.148001003460166
frozen,0,exec,jpca,4,r2_skew,0.0009325175531063046
frozen,0,exec,jpca,4,r2_full,0.0063896149866853325
frozen,0,exec,jpca,4,omega_rad_per_bin,0.0011319815548856322
frozen,0,exec,jpca,4,freq_hz,0.0180160459948898
frozen,0,exec,jpca,4,direction_consistency,0.875
frozen,0,exec,jpca,4,mean_tangling,0.10026304998832024
frozen,0,exec,jpca,4,shuffle_r2_mean,0.0034018855616149146
frozen,0,exec,jpca,4,shuffle_r2_std,0.0025986936148714164
frozen,0,exec,jpca,4,r2_above_shuffle,-0.00246936800850861
frozen,0,exec,jpca,6,r2_skew,0.0020969276623351574
frozen,0,exec,jpca,6,r2_full,0.008357725585133924
frozen,0,exec,jpca,6,omega_rad_per_bin,0.002171543819202995
frozen,0,exec,jpca,6,freq_hz,0.034561193296680975
frozen,0,exec,jpca,6,direction_consistency,1.0
frozen,0,exec,jpca,6,mean_tangling,0.10074055198766663
frozen,0,exec,jpca,6,shuffle_r2_mean,0.016031532656124305
frozen,0,exec,jpca,6,shuffle_r2_std,0.008488859295616446
frozen,0,exec,jpca,6,r2_above_shuffle,-0.013934604993789148
frozen,0,exec,jpca,10,r2_skew,0.028903296269313317
frozen,0,exec,jpca,10,r2_full,0.043226708270217795
frozen,0,exec,jpca,10,omega_rad_per_bin,0.02754835122732243
frozen,0,exec,jpca,10,freq_hz,0.43844562718600466
frozen,0,exec,jpca,10,direction_consistency,0.875
frozen,0,exec,jpca,10,mean_tangling,0.08932684066778589
frozen,0,exec,jpca,10,shuffle_r2_mean,0.07344372496190145
frozen,0,exec,jpca,10,shuffle_r2_std,0.016040492219741864
frozen,0,exec,jpca,10,r2_above_shuffle,-0.04454042869258813
frozen,0,prep_vs_exec,orthogonality,6,mean_angle_deg,32.858755240768154
frozen,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
frozen,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
frozen,0,prep_vs_exec,orthogonality,6,z_vs_null,-98.00811072335304
frozen,0,prep,cv_stability,6,fold_subspace_angle_deg,45.30713419680491
frozen,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,0,exec,cv_stability,6,fold_subspace_angle_deg,33.971255557012874
frozen,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,50,prep,pr,,participation_ratio,8.91422021059614
frozen,50,exec,pr,,participation_ratio,6.09107927474046
frozen,50,exec,jpca,4,r2_skew,0.0024371306423583983
frozen,50,exec,jpca,4,r2_full,0.00971545834278198
frozen,50,exec,jpca,4,omega_rad_per_bin,0.0022121871874492176
