condition,epoch,window,observable,k,metric,value
control,0,prep,pr,,participation_ratio,8.503263448995146
control,0,exec,pr,,participation_ratio,6.008577007993793
control,0,exec,jpca,4,r2_skew,0.0012834873059384133
control,0,exec,jpca,4,r2_full,0.006528457860114467
control,0,exec,jpca,4,omega_rad_per_bin,0.0014557328666012918
control,0,exec,jpca,4,freq_hz,0.023168708154093026
control,0,exec,jpca,4,direction_consistency,0.75
control,0,exec,jpca,4,mean_tangling,0.10126282751647124
control,0,exec,jpca,4,shuffle_r2_mean,0.0037816224359370487
control,0,exec,jpca,4,shuffle_r2_std,0.0021491918185964983
control,0,exec,jpca,4,r2_above_shuffle,-0.0024981351299986354
control,0,exec,jpca,6,r2_skew,0.0018788909520898178
control,0,exec,jpca,6,r2_full,0.007824961279759401
control,0,exec,jpca,6,omega_rad_per_bin,0.0021435784751906188
control,0,exec,jpca,6,freq_hz,0.034116111023197476
control,0,exec,jpca,6,direction_consistency,0.75
control,0,exec,jpca,6,mean_tangling,0.1023285987341614
control,0,exec,jpca,6,shuffle_r2_mean,0.018947222672740387
control,0,exec,jpca,6,shuffle_r2_std,0.008705299523338466
control,0,exec,jpca,6,r2_above_shuffle,-0.01706833172065057
control,0,exec,jpca,10,r2_skew,0.02885382365900724
control,0,exec,jpca,10,r2_full,0.0508727365398679
control,0,exec,jpca,10,omega_rad_per_bin,0.024392404247931
control,0,exec,jpca,10,freq_hz,0.3882171709953965
control,0,exec,jpca,10,direction_consistency,0.875
control,0,exec,jpca,10,mean_tangling,0.09004670843520257
control,0,exec,jpca,10,shuffle_r2_mean,0.07728233719517592
control,0,exec,jpca,10,shuffle_r2_std,0.023790588923840596
control,0,exec,jpca,10,r2_above_shuffle,-0.048428513536168685
control,0,prep_vs_exec,orthogonality,6,mean_angle_deg,36.737001923230956
control,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
control,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
control,0,prep_vs_exec,orthogonality,6,z_vs_null,-90.83423566801989
control,0,prep,cv_stability,6,fold_subspace_angle_deg,45.04783858792289
control,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,0,exec,cv_stability,6,fold_subspace_angle_deg,35.364992107521665
control,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,50,prep,pr,,participation_ratio,6.762202232676048
control,50,exec,pr,,participation_ratio,5.076128492642999
control,50,exec,jpca,4,r2_skew,0.001936067292094723
control,50,exec,jpca,4,r2_full,0.008468193272484603
control,50,exec,jpca,4,omega_rad_per_bin,0.0022984367692907813
control,50,exec,jpca,4,freq_hz,0.03658075732167941
control,50,exec,jpca,4,direction_consistency,0.625
control,50,exec,jpca,4,mean_tangling,0.07486693818101388
control,50,exec,jpca,4,shuffle_r2_mean,0.007779750789653489
control,50,exec,jpca,4,shuffle_r2_std,0.004664639602250729
