condition,epoch,window,observable,k,metric,value
rho2_eta0.5_tau20_eeon,0,prep,pr,,participation_ratio,12.639631513316454
rho2_eta0.5_tau20_eeon,0,exec,pr,,participation_ratio,8.371367306335713
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,r2_skew,0.0012790277978682596
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,r2_full,0.010920198041262763
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,omega_rad_per_bin,0.001359101516160927
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,freq_hz,0.021630772446070104
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,direction_consistency,0.875
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,mean_tangling,0.08159154380646123
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,shuffle_r2_mean,0.00456896199136021
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,shuffle_r2_std,0.002220880824873053
rho2_eta0.5_tau20_eeon,0,exec,jpca,4,r2_above_shuffle,-0.0032899341934919503
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,r2_skew,0.0020186847908947314
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,r2_full,0.010830413828178731
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,omega_rad_per_bin,0.0019802742358511435
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,freq_hz,0.031517043331323526
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,direction_consistency,0.875
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,mean_tangling,0.08120982226586211
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,shuffle_r2_mean,0.015177341504098153
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,shuffle_r2_std,0.004767498791168105
rho2_eta0.5_tau20_eeon,0,exec,jpca,6,r2_above_shuffle,-0.013158656713203421
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,r2_skew,0.07324787147437684
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,r2_full,0.08663391573820234
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,omega_rad_per_bin,0.049449120745143293
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,freq_hz,0.7870071998137542
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,direction_consistency,0.875
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,mean_tangling,0.06986935763022681
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,shuffle_r2_mean,0.08131780738872005
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,shuffle_r2_std,0.026618377194414164
rho2_eta0.5_tau20_eeon,0,exec,jpca,10,r2_above_shuffle,-0.008069935914343213
rho2_eta0.5_tau20_eeon,0,prep_vs_exec,orthogonality,6,mean_angle_deg,37.46180344226828
rho2_eta0.5_tau20_eeon,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta0.5_tau20_eeon,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta0.5_tau20_eeon,0,prep_vs_exec,orthogonality,6,z_vs_null,-89.49351756439799
rho2_eta0.5_tau20_eeon,0,prep,cv_stability,6,fold_subspace_angle_deg,53.29572819532088
rho2_eta0.5_tau20_eeon,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta0.5_tau20_eeon,0,exec,cv_stability,6,fold_subspace_angle_deg,43.22559326595851
rho2_eta0.5_tau20_eeon,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta0.5_tau20_eeon,50,prep,pr,,participation_ratio,17.925993789090093
rho2_eta0.5_tau20_eeon,50,exec,pr,,participation_ratio,11.713570332840659
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,r2_skew,0.00157752805318645
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,r2_full,0.009775414213817113
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,omega_rad_per_bin,0.0016196460014153238
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,freq_hz,0.02577746671842717
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,direction_consistency,0.75
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,mean_tangling,0.07644942613363545
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,shuffle_r2_mean,0.005286311947284428
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,shuffle_r2_std,0.0024407658566352216
rho2_eta0.5_tau20_eeon,50,exec,jpca,4,r2_above_shuffle,-0.003708783894097978
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,r2_skew,0.003230775387092266
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,r2_full,0.010845205112254841
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,omega_rad_per_bin,0.003474927303414052
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,freq_hz,0.055305185722333686
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,direction_consistency,1.0
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,mean_tangling,0.07331371246479111
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,shuffle_r2_mean,0.027153595786932404
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,shuffle_r2_std,0.01816638076698791
rho2_eta0.5_tau20_eeon,50,exec,jpca,6,r2_above_shuffle,-0.023922820399840138
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,r2_skew,0.037919934118376575
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,r2_full,0.04928748001237282
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,omega_rad_per_bin,0.03934936676444901
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,freq_hz,0.6262646228098
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,direction_consistency,1.0
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,mean_tangling,0.08014214965734676
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,shuffle_r2_mean,0.08467856302295737
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,shuffle_r2_std,0.0252889747574646
rho2_eta0.5_tau20_eeon,50,exec,jpca,10,r2_above_shuffle,-0.046758628904580796
rho2_eta0.5_tau20_eeon,50,prep_vs_exec,orthogonality,6,mean_angle_deg,39.70007240999865
rho2_eta0.5_tau20_eeon,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta0.5_tau20_eeon,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta0.5_tau20_eeon,50,prep_vs_exec,orthogonality,6,z_vs_null,-85.35322860667483
rho2_eta0.5_tau20_eeon,50,prep,cv_stability,6,fold_subspace_angle_deg,55.20599534831566
rho2_eta0.5_tau20_eeon,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta0.5_tau20_eeon,50,exec,cv_stability,6,fold_subspace_angle_deg,45.55097791826848
rho2_eta0.5_tau20_eeon,50,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta0.5_tau20_eeon,100,prep,pr,,participation_ratio,23.804649422342123
rho2_eta0.5_tau20_eeon,100,exec,pr,,participation_ratio,14.365189355440634
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,r2_skew,0.0021207160809311176
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,r2_full,0.0072588709727722245
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,omega_rad_per_bin,0.002142361869445809
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,freq_hz,0.034096748141389424
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,direction_consistency,0.75
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,mean_tangling,0.09518680327227462
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,shuffle_r2_mean,0.008310994377533298
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,shuffle_r2_std,0.003132655090153284
rho2_eta0.5_tau20_eeon,100,exec,jpca,4,r2_above_shuffle,-0.006190278296602181
