condition,epoch,window,observable,k,metric,value
rho1.5_eta0.5_tau10_eeoff,0,prep,pr,,participation_ratio,9.19752596036765
rho1.5_eta0.5_tau10_eeoff,0,exec,pr,,participation_ratio,52.43676137914243
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,r2_skew,0.025390623956127345
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,r2_full,0.02675997035545785
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,omega_rad_per_bin,0.03219333367258429
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,freq_hz,0.5123728188598551
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,direction_consistency,0.875
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,mean_tangling,0.3131888575485952
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,shuffle_r2_mean,0.033390801494763575
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,shuffle_r2_std,0.020317198207822237
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,4,r2_above_shuffle,-0.00800017753863623
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,r2_skew,0.025158419985866765
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,r2_full,0.027445602993015017
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,omega_rad_per_bin,0.0336017073898796
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,freq_hz,0.5347877827426808
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,direction_consistency,0.75
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,mean_tangling,0.23571246414043548
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,shuffle_r2_mean,0.07598321612821302
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,shuffle_r2_std,0.02837955074096943
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,6,r2_above_shuffle,-0.05082479614234625
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,r2_skew,0.10300430152523399
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,r2_full,0.1080956389368819
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,omega_rad_per_bin,0.08243345014690648
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,freq_hz,1.3119691066999493
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,direction_consistency,1.0
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,mean_tangling,0.16136822333988518
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,shuffle_r2_mean,0.12582929151228028
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,shuffle_r2_std,0.017446322710220463
rho1.5_eta0.5_tau10_eeoff,0,exec,jpca,10,r2_above_shuffle,-0.022824989987046296
rho1.5_eta0.5_tau10_eeoff,0,prep_vs_exec,orthogonality,6,mean_angle_deg,82.57997541153607
rho1.5_eta0.5_tau10_eeoff,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho1.5_eta0.5_tau10_eeoff,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho1.5_eta0.5_tau10_eeoff,0,prep_vs_exec,orthogonality,6,z_vs_null,-6.0351522427211535
rho1.5_eta0.5_tau10_eeoff,0,prep,cv_stability,6,fold_subspace_angle_deg,46.959252850431675
rho1.5_eta0.5_tau10_eeoff,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho1.5_eta0.5_tau10_eeoff,0,exec,cv_stability,6,fold_subspace_angle_deg,84.32816136987486
rho1.5_eta0.5_tau10_eeoff,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho1.5_eta0.5_tau10_eeoff,50,prep,pr,,participation_ratio,11.324431656713362
rho1.5_eta0.5_tau10_eeoff,50,exec,pr,,participation_ratio,53.52365920287987
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,r2_skew,0.042630075397697476
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,r2_full,0.04640355926420758
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,omega_rad_per_bin,0.035727079031481736
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,freq_hz,0.5686141230095123
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,direction_consistency,1.0
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,mean_tangling,0.3403320110219907
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,shuffle_r2_mean,0.04316835518472213
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,shuffle_r2_std,0.03330109762210653
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,4,r2_above_shuffle,-0.0005382797870246564
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,r2_skew,0.08941050946191931
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,r2_full,0.09448023516878679
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,omega_rad_per_bin,0.06394830477383118
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,freq_hz,1.017768880710228
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,direction_consistency,0.875
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,mean_tangling,0.20681378078357435
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,shuffle_r2_mean,0.07567586072306842
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,shuffle_r2_std,0.020297698699014276
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,6,r2_above_shuffle,0.013734648738850885
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,r2_skew,0.143694813215417
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,r2_full,0.14988063565141851
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,omega_rad_per_bin,0.09310072628215808
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,freq_hz,1.4817440793250996
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,direction_consistency,1.0
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,mean_tangling,0.15468657567886945
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,shuffle_r2_mean,0.1511316777357158
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,shuffle_r2_std,0.0251534874671707
rho1.5_eta0.5_tau10_eeoff,50,exec,jpca,10,r2_above_shuffle,-0.007436864520298819
rho1.5_eta0.5_tau10_eeoff,50,prep_vs_exec,orthogonality,6,mean_angle_deg,83.34760708860783
rho1.5_eta0.5_tau10_eeoff,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho1.5_eta0.5_tau10_eeoff,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho1.5_eta0.5_tau10_eeoff,50,prep_vs_exec,orthogonality,6,z_vs_null,-4.615208079620209
rho1.5_eta0.5_tau10_eeoff,50,prep,cv_stability,6,fold_subspace_angle_deg,49.80537470525983
rho1.5_eta0.5_tau10_eeoff,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho1.5_eta0.5_tau10_eeoff,50,exec,cv_stability,6,fold_subspace_angle_deg,84.49872743260657
rho1.5_eta0.5_tau10_eeoff,50,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho1.5_eta0.5_tau10_eeoff,100,prep,pr,,participation_ratio,12.234551598913752
rho1.5_eta0.5_tau10_eeoff,100,exec,pr,,participation_ratio,53.31351240072546
rho1.5_eta0.5_tau10_eeoff,100,exec,jpca,4,r2_skew,0.04986491943840543
