label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho2_eta0.5_tau20_eeon,2.0,5e-13,0.02,True,0,8.371367306335713,12.639631513316454,37.46180344226828,-0.013158656713203421
rho2_eta0.5_tau20_eeon,2.0,5e-13,0.02,True,50,11.713570332840659,17.925993789090093,39.70007240999865,-0.023922820399840138
rho2_eta0.5_tau20_eeon,2.0,5e-13,0.02,True,100,14.365189355440634,23.804649422342123,43.26433414291537,-0.018472380181285032
rho2_eta1_tau20_eeon,2.0,1e-12,0.02,True,0,9.438153901715374,14.11847229391438,36.51734881177661,-0.011267232640678405
rho2_eta1_tau20_eeon,2.0,1e-12,0.02,True,50,15.950255295073,24.317108703729563,45.337868939903956,-0.02440989948778217
rho2_eta1_tau20_eeon,2.0,1e-12,0.02,True,100,20.491306847954053,30.720186247453018,48.34435412003702,-0.027846049337161186
rho2_eta2_tau20_eeon,2.0,2e-12,0.02,True,0,11.481704441689798,15.514385375331926,39.06175989595541,-0.028594091586848183
rho2_eta2_tau20_eeon,2.0,2e-12,0.02,True,50,23.23349540173863,30.922720776368724,50.64356956242821,-0.03214370719557706
rho2_eta2_tau20_eeon,2.0,2e-12,0.02,True,100,26.990600081077837,35.75104363455127,53.37322650411806,-0.025056359316348323
rho3_eta0.5_tau20_eeon,3.0,5e-13,0.02,True,0,8.06239863946708,11.943416234865964,34.03143203346086,-0.008203129147203215
rho3_eta0.5_tau20_eeon,3.0,5e-13,0.02,True,50,11.376875094304076,17.14208782683909,39.60159119017565,-0.020067401318116507
rho3_eta0.5_tau20_eeon,3.0,5e-13,0.02,True,100,14.28109914674919,23.196800380083886,43.209651334353175,-0.023156927664586335
rho3_eta1_tau20_eeon,3.0,1e-12,0.02,True,0,9.037790047591372,12.591162131681383,35.95077302966092,-0.01592323914574594
rho3_eta1_tau20_eeon,3.0,1e-12,0.02,True,50,16.645689019275974,23.866011730622514,44.0983819531958,-0.029084112985481594
rho3_eta1_tau20_eeon,3.0,1e-12,0.02,True,100,20.025857064508166,29.035773642111415,47.57654034273705,-0.016740162340805387
rho3_eta2_tau20_eeon,3.0,2e-12,0.02,True,0,11.532517539425731,14.6269946164398,40.19706980529296,-0.03863239984440616
rho3_eta2_tau20_eeon,3.0,2e-12,0.02,True,50,23.90257140216182,28.854381469301625,47.39191031095706,-0.036272488099329446
rho3_eta2_tau20_eeon,3.0,2e-12,0.02,True,100,26.131833304701725,32.12162490823687,51.13750368359531,-0.0415834706846255
rho5_eta0.5_tau20_eeon,5.0,5e-13,0.02,True,0,7.522343536398771,10.249816925996033,33.99255521879595,-0.005182582350131394
rho5_eta0.5_tau20_eeon,5.0,5e-13,0.02,True,50,11.618784227455684,16.329045528264093,33.874480776070314,-0.012687188178667597
rho5_eta0.5_tau20_eeon,5.0,5e-13,0.02,True,100,14.341030682559966,21.325572985324218,37.53562281441025,-0.03376872638055682
rho5_eta1_tau20_eeon,5.0,1e-12,0.02,True,0,9.293165833385721,11.24179383345679,32.12394983479443,-0.00983019373807846
rho5_eta1_tau20_eeon,5.0,1e-12,0.02,True,50,17.673869116374995,21.780823997612845,36.60800411003064,-0.026669089049147263
rho5_eta1_tau20_eeon,5.0,1e-12,0.02,True,100,20.129886052270805,24.977333821362226,40.97781486364688,-0.030086538677711647
rho5_eta2_tau20_eeon,5.0,2e-12,0.02,True,0,14.661935633494442,13.928554989142091,35.592428622212644,-0.04216616480702964
rho5_eta2_tau20_eeon,5.0,2e-12,0.02,True,50,26.112988136634254,24.870606303430577,42.96372534390815,-0.03764635603809886
rho5_eta2_tau20_eeon,5.0,2e-12,0.02,True,100,28.264816805678965,27.575861100563387,44.886336279197224,-0.044196078995898336
