label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho1.5_eta0.5_tau10_eeoff,1.5,5e-13,0.01,False,0,52.43676137914243,9.19752596036765,82.57997541153607,-0.05082479614234625
rho1.5_eta0.5_tau10_eeoff,1.5,5e-13,0.01,False,50,53.52365920287987,11.324431656713362,83.34760708860783,0.013734648738850885
rho1.5_eta0.5_tau10_eeoff,1.5,5e-13,0.01,False,100,53.31351240072546,12.234551598913752,84.3079228671724,0.0003531372610054567
rho1.5_eta0.5_tau10_eeon,1.5,5e-13,0.01,True,0,52.43676137914243,9.19752596036765,82.57997541153607,-0.05082479614234625
rho1.5_eta0.5_tau10_eeon,1.5,5e-13,0.01,True,50,52.859534923482656,11.187508173889778,83.96070868766037,0.01743267484413087
rho1.5_eta0.5_tau10_eeon,1.5,5e-13,0.01,True,100,52.75825944796265,12.105118379951312,81.98670329960323,0.022886611219319924
rho1.5_eta0.5_tau20_eeoff,1.5,5e-13,0.02,False,0,52.74785148141399,10.003205987452166,84.0453191551219,-0.013026113328933303
rho1.5_eta0.5_tau20_eeoff,1.5,5e-13,0.02,False,50,52.89023323190957,12.254640234157431,83.56254448505884,-0.05053970964316415
rho1.5_eta0.5_tau20_eeoff,1.5,5e-13,0.02,False,100,52.94910823312892,13.761322804751359,84.55087496007616,-0.021323650150498225
rho1.5_eta0.5_tau20_eeon,1.5,5e-13,0.02,True,0,52.74785148141399,10.003205987452166,84.0453191551219,-0.013026113328933303
rho1.5_eta0.5_tau20_eeon,1.5,5e-13,0.02,True,50,53.00174005029181,12.352120430274203,84.55494598271935,-0.010734325957112767
rho1.5_eta0.5_tau20_eeon,1.5,5e-13,0.02,True,100,53.52755011289678,13.75715768427147,84.78237045165481,-0.01550086658733342
rho1.5_eta0.5_tau40_eeoff,1.5,5e-13,0.04,False,0,52.57661983155891,10.928858653669748,84.05111260668102,0.024215652254674883
